A0001,113.98,22.57,66
A0002,113.94,22.69,65.5
A0004,114.24,22.56,75
A0005,113.95,22.56,65.5
A0006,114.24,22.56,75
A0008,113.96,22.56,65.5
A0009,113.9,22.5,66
A0011,113.93,22.52,65.5
A0012,113.94,22.52,65.5
A0018,113.9,22.5,66
A0023,113.94,22.52,65.5
A0024,114.02,22.54,66.5
A0025,114,22.54,67.5
A0029,113.98,22.56,66
A0030,114.16,22.58,68
A0031,114.13,22.54,67
A0032,113.94,22.52,65.5
A0035,114.13,22.55,66.5
A0037,114.04,22.76,70
A0038,114.42,22.64,75
A0039,114.07,22.71,66.5
A0040,114.12,22.61,66
A0041,114.07,22.66,65
A0043,114.26,22.74,67
A0044,114.15,22.63,69
A0045,114.03,22.65,66
A0046,113.9,22.79,66
A0047,114.24,22.7,67
A0048,114.12,22.63,67
A0049,114.2,22.64,68.5
A0050,114.35,22.69,70
A0051,114.06,22.63,66.5
A0052,114.07,22.66,65.5
A0053,114.38,22.75,70
A0054,114.07,22.72,67
A0055,114.23,22.64,67
A0056,114.31,22.78,73
A0057,113.91,22.59,66
A0058,114.15,22.69,69
A0059,114.06,22.6,66
A0060,114.07,22.64,65.5
A0061,114.07,22.66,65.5
A0062,114.16,22.62,67.5
A0063,114.42,22.64,75
A0064,114.3,22.78,73
A0065,114.28,22.72,67
A0066,114.22,22.67,67
A0067,114.03,22.66,65
A0068,114.08,22.66,65.5
A0069,114.21,22.66,66
A0070,113.82,22.74,66.5
A0071,114.32,22.72,70
A0072,114.05,22.52,66.5
A0073,114.21,22.65,66
A0074,114.08,22.53,66.5
A0075,114.13,22.6,66.5
A0076,113.94,22.65,68.5
A0079,114,22.74,71
A0080,114.04,22.63,66
A0082,114.15,22.62,67
A0083,114,22.68,66
A0084,114.02,22.67,65.5
A0085,113.82,22.69,66
A0086,113.85,22.76,66.5
A0087,113.83,22.73,66
A0088,113.92,22.78,70
A0089,113.81,22.71,66.5
A0090,113.97,22.7,70
A0091,114.05,22.65,65.5
A0092,114.06,22.72,67
A0093,113.83,22.68,70
A0094,113.82,22.71,66
A0095,113.87,22.61,65.5
A0097,113.83,22.68,65.5
A0098,113.82,22.68,65.5
A0099,113.83,22.73,66
A0100,114.04,22.61,66
A0101,114.07,22.73,66.5
A0102,113.93,22.65,70
A0103,114.07,22.71,66
A0105,113.83,22.67,65
A0106,114.13,22.59,67.5
A0107,113.92,22.67,70
A0108,113.84,22.7,66
A0110,113.93,22.71,68.5
A0111,113.85,22.63,70.5
A0112,113.9,22.56,65.5
A0113,114.04,22.67,66.5
A0114,113.86,22.6,66.5
A0115,113.81,22.69,67
A0116,114.1,22.71,66
A0117,114.07,22.73,67
A0118,113.87,22.61,65.5
A0120,113.89,22.56,65.5
A0125,113.86,22.77,66
A0177,113.86,22.6,66
A0355,114.07,22.64,65.5
A0357,113.87,22.67,72.5
A0358,113.97,22.59,66.5
A0359,114.12,22.57,66
A0360,113.96,22.58,65.5
A0361,113.83,22.68,65.5
A0362,113.99,22.56,66
A0364,113.95,22.69,65
A0369,114.03,22.55,66.5
A0375,114.07,22.64,65.5
A0440,113.99,22.53,69.5
A0441,114.12,22.56,67
A0442,114.24,22.72,69
A0443,114.18,22.57,73
A0444,113.99,22.56,66.5
A0446,113.95,22.68,72
A0447,114.11,22.55,66.5
A0448,114.05,22.55,67
A0449,114.03,22.53,66
A0450,114.49,22.58,85
A0451,114.04,22.64,66
A0452,113.83,22.73,65.5
A0453,113.9,22.79,65.5
A0454,113.85,22.77,66
A0455,113.79,22.74,72
A0456,114.03,22.66,65
A0458,113.89,22.58,66.5
A0460,114.14,22.71,85
A0464,114.05,22.53,65.5
A0465,114.1,22.55,67
A0466,114.14,22.58,67
A0467,113.9,22.57,65.5
A0468,114.07,22.54,80
